Site,Group,Vendnum,Name,Currcode
PI-SP,IMPORTED,IGHAPCL,HANSOL PAPER CO. LTD.,USD
PI-SP,IMPORTED,IGKLCLT,KLEANNARA CO. LTD.,USD
PI-SP,IMPORTED,IGDAIEI,DAIEI PAPERS (S) PTE LTD,USD
PI-SP,IMPORTED,IGHOKNG,HONG KONG PAPER SOURCES CO. LIMITED,USD
PI-SP,IMPORTED,IGCHHPC,CHUNG HWA PULP CORPORATION,USD
PI-SP,IMPORTED,IGSPPCO,SHINSEI PULP & PAPER CO. LTD,USD
PI-SP,IMPORTED,IGGDINC,GD INTERNATIONAL CO.,USD
PI-SP,IMPORTED,IGNFTZF,Ningbo Free Trade Zone Fangyuan Paper Trading Co. LTD,USD
PI-SP,IMPORTED,IGGREEN,GREENPOINT GLOBAL TRADING (MACAO COMMERCIAL OFFSHORE) LTD.,USD
PI-SP,IMPORTED,IGGETCL,GOLD EAST TRADING (HONGKONG) CO. LTD.,USD
PI-SP,IMPORTED,IGGITPI,GIT PHILIPPINES INC.,USD
PI-SP,IMPORTED,IGGITCL,GRANDSCALE INTERNATIONAL TRADING CO. LIMITED,USD
PI-SP,IMPORTED,IGTRPAP,TROEDSSON PAPER,USD
PI-SP,IMPORTED,IGREPAL,REPAL INTERNATIONAL LIMITED,USD
PI-SP,IMPORTED,IGMETML,METSA BOARD SVERIGE AB HUSUM MILL,USD
PI-SP,IMPORTED,IGSEPCL,STORA ENSO (GUANGXI) PACKAGING COMPANY LIMITED,USD
PI-SP,IMPORTED,IGRHMBH,ROXCEL HANDELSGES M.B.H.,USD
PI-SP,IMPORTED,IGGPINT,GRAPHIC PACKAGING INTERNATIONAL LLC,USD
PI-SP,IMPORTED,IGGPIJL,GRAPHIC PACKAGING INTERNATIONAL JAPAN LTD.,USD
PI-SP,IMPORTED,IGROXCE,ROXCEL TRADING GMBH,USD
PI-SP,IMPORTED,IGTKMKT,T. KUMAOKA TRADING,USD
PI-SP,IMPORTED,IGOFSNL,OJI FIBRE SOLUTIONS (NZ) LIMITED,USD
PI-SP,IMPORTED,IGSPHK2,SAPPI PAPIER HOLDING GmBh,USD
PI-SP,IMPORTED,IGOKPPL,OKURA PULP & PAPER (H.K) LTD.,USD
PI-SP,IMPORTED,IGSPHKC,SUN PAPER (HONGKONG) CO. LIMITED,USD
PI-SP,IMPORTED,IGUPMKA,UPM-Kymmene Asia Pacific Pte Ltd.,USD
PI-SP,IMPORTED,IGCENTR,CENTRAL NATIONAL ASIA LIMITED,USD
PI-SP,IMPORTED,IGAFESB,APRIL FAR EAST (MALAYSIA) SDN. BHD. (1167351-V),USD
